file,torque_col,hook_col,rpm_col,spp_col,pit_col,block_col,depth_col
NA-NA-15_$47$_9-F-5 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,Average Rotary Speed rpm,Average Standpipe Pressure kPa,,Block Position m,Bit Depth (MD) m;Hole Depth (TVD) m;Lag Depth (MD) m;Hole depth (MD) m
Norway-NA-15_$47$_9-F-1 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,MWD Turbine RPM ,Average Standpipe Pressure kPa,,Block Position m,Bit Depth (TVD) ;Continuous Survey Depth ;Lag Depth (MD) m;Hole depth (MD) m;Bit Depth (MD) m;Hole Depth (TVD) m;SRVDEPTH 
Norway-NA-15_$47$_9-F-9 A time.csv,Torque loss kN.m,Total Hookload kkgf,RPM30s rpm,Average Standpipe Pressure kPa,MudPit Volume Average 5 m3,Block Velocity m/s,Bit Depth (MD) m;Lagged Total Depth m;Total Depth m;SRVDEPTH m;Total Vertical Depth m;Bit Depth m;Bit Depth m.1;Depth chrom sample (meas) m;Hole depth (MD) m;Continuous Survey Depth m;Lag Depth (TVD) m;ESD_DELAY_DEPTH m
Norway-Statoil-15_$47$_9-F-12 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,MWD Stick-Slip PKtoPK RPM rpm,Average Standpipe Pressure kPa,,Block Velocity m/s,Hole depth (MD) m;Bit Depth m;Bit Depth (TVD) m;Continuous Survey Depth m;Bit Depth (MD) m;MWD DATP Measurement Depth m;SRVDEPTH m;Hole Depth (TVD) m;Lag Depth (MD) m;Lag Depth (TVD) ;Bit Depth ;Bit Depth (TVD) ;Continuous Survey Depth 
Norway-Statoil-15_$47$_9-F-7 time.csv,Average Surface Torque kN.m,Average Hookload kkgf,Average Rotary Speed rpm,Average Standpipe Pressure kPa,,Block Velocity ,Bit Depth ;Lag Depth (MD) m;Hole depth (MD) m;Bit Depth (MD) m;Bit Depth (TVD) ;Continuous Survey Depth ;Hole Depth (TVD) m
Norway-Statoil-NO 15_$47$_9-F-1 C 0 time.csv,Torque - Corrected N.m,Hookload N,CoPilot Average RPM c/s,,Drill Pit Group Gain/Loss m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;ECD at Total Depth kg/m3;ECD at Weakest Depth kg/m3;Bit Measured Depth m;Pit Volume Reset Depth m;Lagged Mud Returns Depth m;Pipe Stretch Corrected Depth m;Pipe Stretch Depth Correction Offset m;Vertical Depth m;Hole Depth m
Norway-Statoil-NO 15_$47$_9-F-1 C A time.csv,TORQUE_AVG kN.m,Hookload N,SSRPMAVM RPM,,Drill Pit Group Cumulative Volume m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Pit Volume Reset Depth m;ECD at Total Depth kg/m3;Bit Measured Depth m;ECD at Weakest Depth kg/m3;Vertical Depth m;Hole Depth m;Pipe Stretch Corrected Depth m;Pipe Stretch Depth Correction Offset m;Lagged Mud Returns Depth m
Norway-Statoil-NO 15_$47$_9-F-1 C B time.csv,Torque In Amps A,Hookload N,Bit RPM - Total RPM c/s,,Pit 2 Volume m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Pit Volume Reset Depth m;Bit Measured Depth m;Lagged Mud Returns Depth m;Pipe Stretch Depth Correction Offset m;Pipe Stretch Corrected Depth m;ECD at Weakest Depth kg/m3;ECD at Total Depth kg/m3;Vertical Depth m;Hole Depth m
Norway-Statoil-NO 15_$47$_9-F-1 C C time.csv,Surface Torque Average N.m,Hookload N,SSRPMAXM RPM,,Pit Volume - Trip Out Group m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Depth Averaged ROP m/s;Lagged Mud Returns Depth m;Hole Depth m;Bit Measured Depth m;Pipe Stretch Depth Correction Offset m;Pipe Stretch Corrected Depth m;Vertical Depth m;Vertical Bit Depth m;Pit Volume Reset Depth m;ECD at Weakest Depth kg/m3;ECD at Total Depth kg/m3
Norway-Statoil-NO 15_$47$_9-F-11 A time.csv,Torque - Corrected N.m,Hookload N,CoPilot Average RPM c/s,,Pit Volume - Trip In Group m3,Block/Topdrive Position Compensated m,The mnemonic of the Hole depth m;Pipe Stretch Depth Correction Offset m;Pipe Stretch Corrected Depth m;Bit Measured Depth m;Lagged Mud Returns Depth m;Pit Volume Reset Depth m;ECD at Total Depth kg/m3;ECD at Weakest Depth kg/m3
